year,active_role_rows,active_companies,active_people,active_cusip8,leadership_role_rows
1995,202661,7758,158593,7897,533
1996,213575,7795,166508,7934,543
1997,225768,7821,175610,7960,572
1998,238747,7850,185331,7989,624
1999,252593,7876,195190,8015,670
2000,267798,7897,206068,8036,725
2001,275164,7910,213027,8049,787
2002,283588,7923,219943,8062,879
2003,293897,7944,227261,8083,959
2004,307653,7968,235521,8107,1079
2005,318717,7987,241663,8128,1262
2006,324031,8010,245031,8150,1454
2007,325964,7975,245635,8115,1717
2008,318258,7879,240646,8019,2015
2009,306213,7766,233876,7902,2297
2010,303203,7673,231345,7810,2675
2011,301551,7618,229563,7755,3235
2012,299093,7599,227194,7736,3940
2013,297548,7629,225223,7767,4933
2014,297461,7674,224272,7816,6499
2015,294938,7698,221102,7839,8732
2016,284936,7670,213954,7812,11742
2017,276767,7651,208029,7797,16457
2018,272164,7638,203588,7788,23117
2019,268340,7631,200019,7777,31402
2020,263423,7682,196630,7838,36446
2021,270630,8076,199908,8288,42246
2022,264925,8136,194936,8349,44008
2023,251217,8024,185780,8227,42385
2024,237300,7880,176400,8036,40272
2025,226723,7757,170059,7885,38142
