year,key_person_concentration,succession_depth_gap,external_load,poaching_pressure,bench_depth,team_cohesion_decay
1995,0.12297530578280842,2.9613295210864905,0.34039423985218703,0.9731319474774268,0.04067190850607577,0.12468828427333647
1996,0.11874546651119462,2.95856770917039,0.3487788743274722,0.990937995775282,0.04618945067660956,0.23788719361564137
1997,0.11386488420649031,2.9533186813186814,0.35022729355596416,0.994219991716339,0.0521025641025641,0.24245884118751543
1998,0.10681330320791746,2.9466164190434876,0.3466122667920956,0.988407863818645,0.05891443444311897,0.2509385461899636
1999,0.09765040003030397,2.940715826229845,0.34766807366891106,0.9990099457664792,0.06518948341378247,0.22847533106852835
2000,0.0913186112692456,2.934126757886735,0.35268163515347434,1.0270233402589681,0.07157449638920563,0.23253978580086027
2001,0.08325881525698711,2.9261619276007766,0.35098463561106624,1.0391567940443829,0.08253968253968254,0.198325953824529
2002,0.07741046963192916,2.9123822671505866,0.3502662981236202,1.0516890072023766,0.0975039522611387,0.17730385932299944
2003,0.07326720883076751,2.9022072414917908,0.35182003600772765,1.066710332175319,0.10849189953245623,0.17981566255415168
2004,0.07164916471689686,2.889008732446952,0.3619278767225551,1.0983125714300666,0.12370620812677605,0.17730524823630528
2005,0.07115979453531417,2.8659235542906836,0.3639083029446797,1.114940828713782,0.15059883789873119,0.18028467069445017
2006,0.06924027658695817,2.8357629334738403,0.3565474112645012,1.12158590090765,0.18560583884628146,0.17351271858472686
2007,0.06879954592535463,2.792975060084315,0.35080866304260216,1.1347133753116259,0.24161774555770063,0.19414479196895063
2008,0.06716230299558751,2.7350262553331146,0.3420699290767679,1.1486722817349737,0.31202822448309814,0.1754858158833095
2009,0.06309488256768506,2.66484888304862,0.323190176332093,1.1388363469052936,0.392071835304424,0.1607217958244774
2010,0.061657303965962085,2.5896884086174135,0.3180520011046797,1.1544401579123882,0.4848096339201905,0.16819426105813906
2011,0.060564399169619074,2.4887280691313354,0.3147985165900718,1.1699612466568416,0.6178017949389387,0.16996841171263058
2012,0.059762385063571156,2.3543865678236537,0.3138162796466527,1.1903708489350644,0.7931415386125976,0.1486636549180451
2013,0.05956945524448568,2.187531397568572,0.3185772020681567,1.2290089130279112,1.0226816035366222,0.15702262130464176
2014,0.062385367931488515,1.9804405199417903,0.3330426631433987,1.2916821076446765,1.3314258934957945,0.1653904756111415
2015,0.062172362957775444,1.7222740667976424,0.3465026878263821,1.3377201144504784,1.7769155206286837,0.16679370376337058
2016,0.06121525396916278,1.3597723635070247,0.35018081416935065,1.3720181250875954,2.50039379080816,0.14641817746652175
2017,0.061893421940644955,0.9219733988345659,0.34773820814437656,1.3854365479536048,3.5995191930805612,0.14759707377485187
2018,0.06213141499837756,0.50800613010622,0.35382738411069914,1.4024627871123363,5.164852296147545,0.16480095962386945
2019,0.061037538120697656,0.2565061679267807,0.361334476286036,1.4289064627793082,6.780289163018968,0.15208779006455356
2020,0.06330940043810362,0.20842917955633114,0.3699753829086157,1.4535755708604174,7.310012955765315,0.16100893275079817
2021,0.06859061174252842,0.19773075892965838,0.40922431389757763,1.4922062007792463,7.554844050546614,0.16359100059382556
2022,0.06527305341787329,0.20553102486637229,0.42036011064866596,1.4896757266391298,7.706669765280037,0.14852668226024007
2023,0.0638375085133486,0.21042928627864102,0.4096040129213615,1.470126167254844,7.780879641822492,0.1508689347319814
2024,0.06419074153494897,0.21681076126539003,0.40577408567696777,1.4549571531534726,7.734535635543885,0.14160079077144683
