horizon,ocf_bucket,event_type,mean_car,median_car,n_events
1,1,appointment,0.0014689262672811058,0.00018300000000004424,34069
1,1,departure,0.0006826384993407644,0.0,33372
1,2,appointment,0.0009982717582854865,0.0,35182
1,2,departure,0.0007713545773618014,0.0,34190
1,3,appointment,0.001102030306066222,0.0004925000000000068,39926
1,3,departure,0.0005099182456230551,0.0,38897
1,4,appointment,0.0016895551626591229,0.0,43834
1,4,departure,0.0008802278408820872,0.0,42082
1,5,appointment,0.001783171456375634,0.0,32883
1,5,departure,0.00047464601651117395,0.0,29798
5,1,appointment,0.0042359587661388,0.0024984060488915105,34063
5,1,departure,0.003499561714426346,0.0021687880724383657,32951
5,2,appointment,0.0027784667126769576,0.0016080908219360257,35175
5,2,departure,0.004232666484089078,0.002124881381692423,33924
5,3,appointment,0.0031094340747923263,0.0009038951275244234,39923
5,3,departure,0.0038782673512350297,0.0017958003240976517,38655
5,4,appointment,0.0033716427802886555,0.0004194119104572458,43826
5,4,departure,0.003985212854579846,0.0011997407700868878,41888
5,5,appointment,0.004132446651442408,-2.83360023611845e-07,32880
5,5,departure,0.004902151347925089,-1.5560502442113489e-07,29688
20,1,appointment,0.009397918824973378,0.006645694384013856,34041
20,1,departure,0.009647843718693807,0.007300423757956365,32939
20,2,appointment,0.009416884300885402,0.006027286725885483,35141
20,2,departure,0.010959097722707254,0.005876393760814613,33869
20,3,appointment,0.007164086220910392,0.0035562243477333944,39890
20,3,departure,0.006983617062484292,0.003445664336550025,38590
20,4,appointment,0.007096497659103262,0.0017031767795203656,43787
20,4,departure,0.007721941804270435,0.0018099084075207106,41804
20,5,appointment,0.011028312261501659,-0.0018169288981828569,32817
20,5,departure,0.011277742396496801,-0.0005622198777694432,29522
60,1,appointment,0.02806813609164168,0.022230231414005264,33877
60,1,departure,0.026903721349594283,0.021048604979483576,32747
60,2,appointment,0.026582130080650617,0.01666707841251336,34977
60,2,departure,0.028360375845531305,0.016529530806012716,33608
60,3,appointment,0.023214084043756873,0.014531684487322782,39716
60,3,departure,0.020688184494972655,0.01248668185863,38329
60,4,appointment,0.02090363433233835,0.00798151968011973,43542
60,4,departure,0.02113061818093899,0.008480979955855172,41430
60,5,appointment,0.023844128279571813,-0.004607265977194019,32572
60,5,departure,0.027999557117669414,-0.0029200633789648878,29079
