model,test_year,n_obs,rank_ic,oos_r2,mse
elastic_net,2015,40478,-0.08267077003020216,-0.02281514767438808,0.026152927711910592
elastic_net,2016,39099,-0.02466623566047351,0.01772366108136425,0.025828009014003228
elastic_net,2017,38021,-0.052138545026252474,0.01089938521566236,0.020205939333453753
elastic_net,2018,37651,-0.017134743028630234,-0.006162688147192119,0.03508257525340808
elastic_net,2019,37503,-0.07829523136984595,-0.0010488214949686547,0.027182064004947624
elastic_net,2020,37679,0.04053621280307142,0.015185685999736909,0.08289691450631134
elastic_net,2021,40922,-0.08248578308007849,-0.012566643892899965,0.0283580978717041
elastic_net,2022,42859,-0.03773843426393004,-0.00477436574615453,0.040172577121548515
elastic_net,2023,41530,-0.06342354633257136,-0.004549222047355972,0.0411264315696222
elastic_net,2024,36854,-0.05418358919016787,0.004790588284960595,0.09930265253313593
lightgbm,2015,40478,-0.05030718860300744,-0.02052114107789782,0.026094270985106083
lightgbm,2016,39099,-0.003357152129267585,0.015614753848655627,0.02588346069583449
lightgbm,2017,38021,-0.004420639512782585,0.01444844858126848,0.02013343694291419
lightgbm,2018,37651,0.033881462254367674,-0.007791209389053755,0.035139358037834904
lightgbm,2019,37503,-0.05407785930042425,-0.011879437746206145,0.02747615406112941
lightgbm,2020,37679,0.015200984144169222,0.014676407121516077,0.08293978314360426
lightgbm,2021,40922,-0.11977966857540011,-0.02409714720862355,0.028681022929041743
lightgbm,2022,42859,0.013718662614588133,-0.010028509131540186,0.0403826466531297
lightgbm,2023,41530,0.002885301427552767,-0.018074254277215873,0.041680148899017576
lightgbm,2024,36854,0.02071552849425749,0.007791675714343027,0.09900320204692323
deep_sets_component_proxy_cuda,2018,37651,0.02521649866244965,-0.006784577019537386,0.035104259085874064
deep_sets_component_proxy_cuda,2019,37503,0.0372241707730231,0.0018179142313791141,0.027104221853470452
deep_sets_component_proxy_cuda,2020,37679,0.01434835749728522,0.012768397057074443,0.08310039021941606
deep_sets_component_proxy_cuda,2021,40922,-0.01901681133526459,-0.007989030302465228,0.02822989651824324
deep_sets_component_proxy_cuda,2022,42859,0.000530067724635746,-0.007170491386762068,0.040268378273898515
deep_sets_component_proxy_cuda,2023,41530,0.028740976298182817,-0.0038720357503008174,0.04109870743695206
deep_sets_component_proxy_cuda,2024,36854,0.006987006525208298,0.0039730786400136164,0.09938422418555304
conditional_autoencoder_sdf_cuda,2018,37651,0.0067163592441229015,-0.007920267188948671,0.035143857722236105
conditional_autoencoder_sdf_cuda,2019,37503,-0.014960969074805189,-0.006299449504981736,0.027324637374867768
conditional_autoencoder_sdf_cuda,2020,37677,0.044129322018524916,0.021342978496721177,0.08238289949600026
conditional_autoencoder_sdf_cuda,2021,40917,0.017764993145337808,-0.009360352236836844,0.028270274785063516
conditional_autoencoder_sdf_cuda,2022,42859,-0.007321637835481181,-0.00923123915980728,0.04035077044935441
conditional_autoencoder_sdf_cuda,2023,41530,-0.0245121689485436,-0.010996086131056515,0.04139036733902295
conditional_autoencoder_sdf_cuda,2024,36854,-0.03147601156549874,0.004391685231468934,0.099342455384364
